cells,steps,density,threads_or_ranks,wall_time
5000000,5000,0.30,4,25.288956
5000000,5000,0.30,4,27.288095
5000000,5000,0.30,4,25.030047
5000000,5000,0.30,4,23.467094
5000000,5000,0.30,4,25.222277
5000000,5000,0.30,4,25.252138
5000000,5000,0.30,4,25.341287
5000000,5000,0.30,4,25.465802
5000000,5000,0.30,4,24.081203
5000000,5000,0.30,4,27.239742
5000000,1000,0.30,4,4.792626
5000000,1000,0.30,4,4.548128
5000000,1000,0.30,4,4.908643
5000000,1000,0.30,4,4.981338
5000000,1000,0.30,4,4.711588
5000000,1000,0.30,4,4.635041
5000000,1000,0.30,4,4.631559
5000000,1000,0.30,4,4.601755
5000000,1000,0.30,4,4.644291
5000000,1000,0.30,4,4.684123
5000000,2000,0.30,4,9.407592
5000000,2000,0.30,4,9.297820
5000000,2000,0.30,4,9.189277
5000000,2000,0.30,4,9.214328
5000000,2000,0.30,4,9.273168
5000000,2000,0.30,4,9.212287
5000000,2000,0.30,4,9.115452
5000000,2000,0.30,4,9.278199
5000000,2000,0.30,4,9.151825
5000000,2000,0.30,4,9.168740
5000000,3000,0.30,4,13.597491
5000000,3000,0.30,4,13.659499
5000000,3000,0.30,4,13.642233
5000000,3000,0.30,4,13.530024
5000000,3000,0.30,4,13.817367
5000000,3000,0.30,4,13.472811
5000000,3000,0.30,4,13.723905
5000000,3000,0.30,4,13.753520
5000000,3000,0.30,4,13.733645
5000000,3000,0.30,4,13.584278
5000000,4000,0.30,4,18.267407
5000000,4000,0.30,4,18.318493
5000000,4000,0.30,4,18.136607
5000000,4000,0.30,4,18.294148
5000000,4000,0.30,4,18.211164
5000000,4000,0.30,4,18.293023
5000000,4000,0.30,4,18.026417
5000000,4000,0.30,4,18.312863
5000000,4000,0.30,4,18.292539
5000000,4000,0.30,4,18.268396
5000000,5000,0.30,4,22.893266
5000000,5000,0.30,4,23.060935
5000000,5000,0.30,4,22.988690
5000000,5000,0.30,4,22.657841
5000000,5000,0.30,4,25.499013
10000000,1000,0.30,4,8.403474
10000000,1000,0.30,4,8.744932
10000000,1000,0.30,4,8.727443
10000000,1000,0.30,4,8.886904
10000000,1000,0.30,4,8.892291
10000000,1000,0.30,4,8.999203
10000000,1000,0.30,4,8.893392
10000000,1000,0.30,4,8.986464
10000000,1000,0.30,4,8.969572
10000000,1000,0.30,4,9.033865
10000000,2000,0.30,4,18.272260
10000000,2000,0.30,4,18.028872
10000000,2000,0.30,4,18.282127
10000000,2000,0.30,4,17.990963
10000000,2000,0.30,4,18.281345
10000000,2000,0.30,4,18.237561
10000000,2000,0.30,4,18.266848
10000000,2000,0.30,4,18.224476
10000000,2000,0.30,4,18.286224
10000000,2000,0.30,4,17.999919
10000000,3000,0.30,4,27.452019
10000000,3000,0.30,4,27.317407
10000000,3000,0.30,4,27.193666
10000000,3000,0.30,4,27.419710
10000000,3000,0.30,4,27.498901
10000000,3000,0.30,4,27.202966
10000000,3000,0.30,4,27.195713
10000000,3000,0.30,4,27.444455
10000000,3000,0.30,4,27.335152
10000000,3000,0.30,4,27.000464
10000000,4000,0.30,4,36.813029
10000000,4000,0.30,4,36.783336
10000000,4000,0.30,4,36.656538
10000000,4000,0.30,4,36.703437
10000000,4000,0.30,4,36.474762
10000000,4000,0.30,4,36.175972
10000000,4000,0.30,4,36.447984
10000000,4000,0.30,4,36.550606
10000000,4000,0.30,4,36.240130
10000000,4000,0.30,4,36.724650
10000000,5000,0.30,4,45.860061
10000000,5000,0.30,4,45.950986
10000000,5000,0.30,4,45.763054
10000000,5000,0.30,4,46.424907
10000000,5000,0.30,4,45.904602
10000000,5000,0.30,4,46.030351
10000000,5000,0.30,4,45.269715
10000000,5000,0.30,4,45.983430
10000000,5000,0.30,4,45.446051
10000000,5000,0.30,4,46.093982
15000000,1000,0.30,4,13.717381
15000000,1000,0.30,4,13.672865
15000000,1000,0.30,4,13.624513
15000000,1000,0.30,4,13.544460
15000000,1000,0.30,4,13.646848
15000000,1000,0.30,4,13.569987
15000000,1000,0.30,4,13.606907
15000000,1000,0.30,4,13.609523
15000000,1000,0.30,4,13.577896
15000000,1000,0.30,4,13.678903
15000000,2000,0.30,4,27.446657
15000000,2000,0.30,4,27.242312
15000000,2000,0.30,4,27.010967
15000000,2000,0.30,4,27.398047
15000000,2000,0.30,4,27.558666
15000000,2000,0.30,4,27.061814
15000000,2000,0.30,4,26.885669
15000000,2000,0.30,4,27.191493
15000000,2000,0.30,4,27.633800
15000000,2000,0.30,4,27.501394
