Archivo,Ejecución,Tamaño,Tiempo (s)
8hilos.doc,61,4000x4000,91.5884
8hilos.doc,62,4500x4500,123.2032
8hilos.doc,63,5000x5000,174.1196
8hilos.doc,64,1000x1000,1.1714
8hilos.doc,65,1500x1500,4.3971
8hilos.doc,66,2000x2000,12.3916
8hilos.doc,67,2500x2500,22.0564
8hilos.doc,68,3000x3000,44.1040
8hilos.doc,69,3500x3500,61.7884
8hilos.doc,70,4000x4000,107.5533
8hilos.doc,71,4500x4500,122.0963
8hilos.doc,72,5000x5000,174.3112
8hilos.doc,73,1000x1000,1.1782
8hilos.doc,74,1500x1500,4.4137
8hilos.doc,75,2000x2000,12.4264
8hilos.doc,76,2500x2500,22.1312
8hilos.doc,77,3000x3000,44.1295
8hilos.doc,78,3500x3500,61.9497
8hilos.doc,79,4000x4000,103.2227
8hilos.doc,80,4500x4500,123.6298
8hilos.doc,81,5000x5000,174.8033
8hilos.doc,82,1000x1000,1.1672
8hilos.doc,83,1500x1500,4.3772
8hilos.doc,84,2000x2000,12.2045
8hilos.doc,85,2500x2500,22.0694
8hilos.doc,86,3000x3000,43.9347
8hilos.doc,87,3500x3500,63.2404
8procesos.doc,1,1000x1000,0.8343
8procesos.doc,2,1500x1500,2.9065
8procesos.doc,3,2000x2000,7.0077
8procesos.doc,4,2500x2500,14.7999
8procesos.doc,5,3000x3000,26.0122
8procesos.doc,6,3500x3500,42.3642
8procesos.doc,7,4000x4000,65.2234
8procesos.doc,8,4500x4500,90.8610
8procesos.doc,9,5000x5000,124.4573
8procesos.doc,10,1000x1000,0.8334
8procesos.doc,11,1500x1500,2.9040
8procesos.doc,12,2000x2000,7.0181
8procesos.doc,13,2500x2500,14.9567
8procesos.doc,14,3000x3000,25.9652
8procesos.doc,15,3500x3500,42.3808
8procesos.doc,16,4000x4000,63.3626
8procesos.doc,17,4500x4500,90.7755
8procesos.doc,18,5000x5000,124.4137
8procesos.doc,19,1000x1000,0.8185
8procesos.doc,20,1500x1500,2.9225
8procesos.doc,21,2000x2000,7.0910
8procesos.doc,22,2500x2500,14.7872
8procesos.doc,23,3000x3000,26.0541
8procesos.doc,24,3500x3500,42.3633
8procesos.doc,25,4000x4000,63.3954
8procesos.doc,26,4500x4500,90.1261
8procesos.doc,27,5000x5000,128.1742
8procesos.doc,28,1000x1000,0.8307
8procesos.doc,29,1500x1500,2.8945
8procesos.doc,30,2000x2000,7.0348
8procesos.doc,31,2500x2500,14.8768
